,Codes,Titles,Total Marketable US Businesses,code_len
346,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,2613,6
347,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",3721,6
348,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",1207,6
349,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",2447,6
350,334514,Totalizing Fluid Meter and Counting Device Manufacturing,350,6
351,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,1866,6
352,334516,Analytical Laboratory Instrument Manufacturing,1972,6
353,334517,Irradiation Apparatus Manufacturing,279,6
354,334519,Other Measuring and Controlling Device Manufacturing,3078,6
355,3346,Manufacturing and Reproducing Magnetic and Optical Media,2158,4
356,334613,Blank Magnetic and Optical Recording Media Manufacturing,460,6
357,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",1698,6
358,3351,Electric Lighting Equipment Manufacturing,3883,4
359,335110,Electric Lamp Bulb and Part Manufacturing,406,6
360,335121,Residential Electric Lighting Fixture Manufacturing,625,6
361,335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",952,6
362,335129,Other Lighting Equipment Manufacturing,1900,6
363,3352,Household Appliance Manufacturing,1641,4
364,335210,Small Electrical Appliance Manufacturing,804,6
365,335220,Major Household Appliance Manufacturing,837,6
366,3353,Electrical Equipment Manufacturing,4987,4
367,335311,"Power, Distribution, and Specialty Transformer Manufacturing",792,6
368,335312,Motor and Generator Manufacturing,1510,6
369,335313,Switchgear and Switchboard Apparatus Manufacturing,865,6
370,335314,Relay and Industrial Control Manufacturing,1820,6
371,3359,Other Electrical Equipment and Component Manufacturing,6723,4
372,335911,Storage Battery Manufacturing,559,6
373,335912,Primary Battery Manufacturing,109,6
374,335921,Fiber Optic Cable Manufacturing,183,6
375,335929,Other Communication and Energy Wire Manufacturing,156,6
376,335931,Current-Carrying Wiring Device Manufacturing,783,6
377,335932,Noncurrent-Carrying Wiring Device Manufacturing,597,6
378,335991,Carbon and Graphite Product Manufacturing,276,6
379,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,4060,6
380,3361,Motor Vehicle Manufacturing,1700,4
381,336111,Automobile Manufacturing,1172,6
382,336112,Light Truck and Utility Vehicle Manufacturing,78,6
383,336120,Heavy Duty Truck Manufacturing,450,6
384,3362,Motor Vehicle Body and Trailer Manufacturing,2919,4
385,336211,Motor Vehicle Body Manufacturing,974,6
386,336212,Truck Trailer Manufacturing,1092,6
387,336213,Motor Home Manufacturing,92,6
388,336214,Travel Trailer and Camper Manufacturing,761,6
389,3363,Motor Vehicle Parts Manufacturing,8585,4
390,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,679,6
391,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,1183,6
392,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,154,6
393,336340,Motor Vehicle Brake System Manufacturing,186,6
394,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,452,6
395,336360,Motor Vehicle Seating and Interior Trim Manufacturing,455,6
396,336370,Motor Vehicle Metal Stamping,719,6
397,336390,Other Motor Vehicle Parts Manufacturing,4757,6
398,3364,Aerospace Product and Parts Manufacturing,6994,4
399,336411,Aircraft Manufacturing,2504,6
400,336412,Aircraft Engine and Engine Parts Manufacturing,1219,6
401,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,2835,6
402,336414,Guided Missile and Space Vehicle Manufacturing,198,6
403,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,155,6
404,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,83,6
405,3365,Railroad Rolling Stock Manufacturing,609,4
406,336510,Railroad Rolling Stock Manufacturing,609,6
407,3366,Ship and Boat Building,3692,4
408,336611,Ship Building and Repairing,1067,6
409,336612,Boat Building,2625,6
410,3369,Other Transportation Equipment Manufacturing,2305,4
411,336991,"Motorcycle, Bicycle, and Parts Manufacturing",1193,6
412,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",228,6
413,336999,All Other Transportation Equipment Manufacturing,884,6
414,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,21501,4
415,337110,Wood Kitchen Cabinet and Countertop Manufacturing,14183,6
416,337121,Upholstered Household Furniture Manufacturing,843,6
417,337122,Nonupholstered Wood Household Furniture Manufacturing,3218,6
418,337124,Metal Household Furniture Manufacturing,429,6
419,337125,Household Furniture (except Wood and Metal) Manufacturing,476,6
420,337127,Institutional Furniture Manufacturing,2352,6
421,3372,Office Furniture (including Fixtures) Manufacturing,3290,4
422,337211,Wood Office Furniture Manufacturing,871,6
423,337212,Custom Architectural Woodwork and Millwork Manufacturing,900,6
424,337214,Office Furniture (except Wood) Manufacturing,528,6
425,337215,"Showcase, Partition, Shelving, and Locker Manufacturing",991,6
426,3379,Other Furniture Related Product Manufacturing,1966,4
427,337910,Mattress Manufacturing,704,6
428,337920,Blind and Shade Manufacturing,1262,6
429,3391,Medical Equipment and Supplies Manufacturing,21104,4
430,339112,Surgical and Medical Instrument Manufacturing,5517,6
431,339113,Surgical Appliance and Supplies Manufacturing,4585,6
432,339114,Dental Equipment and Supplies Manufacturing,1376,6
433,339115,Ophthalmic Goods Manufacturing,1027,6
434,339116,Dental Laboratories,8599,6
435,3399,Other Miscellaneous Manufacturing,72830,4
436,339910,Jewelry and Silverware Manufacturing,5142,6
437,339920,Sporting and Athletic Goods Manufacturing,7921,6
438,339930,"Doll, Toy, and Game Manufacturing",3388,6
439,339940,Office Supplies (except Paper) Manufacturing,1648,6
440,339950,Sign Manufacturing,20822,6
441,339991,"Gasket, Packing, and Sealing Device Manufacturing",824,6
442,339992,Musical Instrument Manufacturing,1592,6
443,339993,"Fastener, Button, Needle, and Pin Manufacturing",580,6
444,339994,"Broom, Brush, and Mop Manufacturing",346,6
445,339995,Burial Casket Manufacturing,121,6
446,339999,All Other Miscellaneous Manufacturing,30446,6
0,42,Wholesale Trade,697579,2
1,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,35636,4
2,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,8578,6
3,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,19521,6
4,423130,Tire and Tube Merchant Wholesalers,3317,6
5,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,4220,6
6,4232,Furniture and Home Furnishing Merchant Wholesalers,23438,4
7,423210,Furniture Merchant Wholesalers,8363,6
8,423220,Home Furnishing Merchant Wholesalers,15075,6
9,4233,Lumber and Other Construction Materials Merchant Wholesalers,40370,4
10,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",22051,6
11,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",11664,6
12,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",3126,6
13,423390,Other Construction Material Merchant Wholesalers,3529,6
14,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,59897,4
15,423410,Photographic Equipment and Supplies Merchant Wholesalers,823,6
16,423420,Office Equipment Merchant Wholesalers,5720,6
17,423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,12428,6
18,423440,Other Commercial Equipment Merchant Wholesalers,18331,6
19,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",18470,6
20,423460,Ophthalmic Goods Merchant Wholesalers,430,6
21,423490,Other Professional Equipment and Supplies Merchant Wholesalers,3695,6
22,4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,13864,4
23,423510,Metal Service Centers and Other Metal Merchant Wholesalers,13047,6
24,423520,Coal and Other Mineral and Ore Merchant Wholesalers,817,6
25,4236,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,41400,4
26,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",21354,6
27,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",4366,6
28,423690,Other Electronic Parts and Equipment Merchant Wholesalers,15680,6
29,4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",25840,4
30,423710,Hardware Merchant Wholesalers,6993,6
31,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,10581,6
32,423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,5931,6
33,423740,Refrigeration Equipment and Supplies Merchant Wholesalers,2335,6
34,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",101706,4
35,423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,9190,6
36,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,9474,6
37,423830,Industrial Machinery and Equipment Merchant Wholesalers,39524,6
38,423840,Industrial Supplies Merchant Wholesalers,20762,6
39,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,17098,6
40,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,5658,6
41,4239,Miscellaneous Durable Goods Merchant Wholesalers,82076,4
42,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,8421,6
43,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,5624,6
44,423930,Recyclable Material Merchant Wholesalers,7364,6
45,423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",12037,6
46,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,48630,6
47,4241,Paper and Paper Product Merchant Wholesalers,12769,4
48,424110,Printing and Writing Paper Merchant Wholesalers,1006,6
49,424120,Stationery and Office Supplies Merchant Wholesalers,6878,6
50,424130,Industrial and Personal Service Paper Merchant Wholesalers,4885,6
51,4242,Drugs and Druggists' Sundries Merchant Wholesalers,13043,4
52,424210,Drugs and Druggists' Sundries Merchant Wholesalers,13043,6
53,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",22860,4
54,424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",4480,6
55,424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,4201,6
56,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",8500,6
57,424340,Footwear Merchant Wholesalers,5679,6
58,4244,Grocery and Related Product Merchant Wholesalers,59050,4
59,424410,General Line Grocery Merchant Wholesalers,10658,6
60,424420,Packaged Frozen Food Merchant Wholesalers,1362,6
61,424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,3443,6
62,424440,Poultry and Poultry Product Merchant Wholesalers,1578,6
63,424450,Confectionery Merchant Wholesalers,2742,6
64,424460,Fish and Seafood Merchant Wholesalers,5766,6
65,424470,Meat and Meat Product Merchant Wholesalers,3162,6
66,424480,Fresh Fruit and Vegetable Merchant Wholesalers,6748,6
67,424490,Other Grocery and Related Products Merchant Wholesalers,23591,6
68,4245,Farm Product Raw Material Merchant Wholesalers,23171,4
69,424510,Grain and Field Bean Merchant Wholesalers,7641,6
70,424520,Livestock Merchant Wholesalers,10218,6
71,424590,Other Farm Product Raw Material Merchant Wholesalers,5312,6
72,4246,Chemical and Allied Products Merchant Wholesalers,12933,4
73,424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,2103,6
74,424690,Other Chemical and Allied Products Merchant Wholesalers,10830,6
75,4247,Petroleum and Petroleum Products Merchant Wholesalers,14222,4
76,424710,Petroleum Bulk Stations and Terminals,2292,6
77,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),11930,6
78,4248,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",11159,4
79,424810,Beer and Ale Merchant Wholesalers,2810,6
80,424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,8349,6
81,4249,Miscellaneous Nondurable Goods Merchant Wholesalers,103330,4
82,424910,Farm Supplies Merchant Wholesalers,15489,6
83,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",9538,6
84,424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",6068,6
85,424940,Tobacco and Tobacco Product Merchant Wholesalers,4875,6
86,424950,"Paint, Varnish, and Supplies Merchant Wholesalers",4216,6
87,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,63144,6
88,4251,Wholesale Electronic Markets and Agents and Brokers,815,4
89,425110,Business to Business Electronic Markets,0,6
90,425120,Wholesale Trade Agents and Brokers,815,6
0,44-45,Retail Trade,1800166,5
1,4411,Automobile Dealers,98044,4
2,441110,New Car Dealers,62891,6
3,441120,Used Car Dealers,35153,6
4,4412,Other Motor Vehicle Dealers,44399,4
5,441210,Recreational Vehicle Dealers,4136,6
6,441222,Boat Dealers,11591,6
7,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",28672,6
8,4413,"Automotive Parts, Accessories, and Tire Stores",73620,4
9,441310,Automotive Parts and Accessories Stores,42733,6
10,441320,Tire Dealers,30887,6
11,4421,Furniture Stores,44210,4
12,442110,Furniture Stores,44210,6
13,4422,Home Furnishings Stores,72744,4
14,442210,Floor Covering Stores,47042,6
15,442291,Window Treatment Stores,6131,6
16,442299,All Other Home Furnishings Stores,19571,6
17,4431,Electronics and Appliance Stores,80974,4
18,443141,Household Appliance Stores,11863,6
19,443142,Electronics Stores,69111,6
20,4441,Building Material and Supplies Dealers,91754,4
21,444110,Home Centers,29397,6
22,444120,Paint and Wallpaper Stores,14273,6
23,444130,Hardware Stores,22098,6
24,444190,Other Building Material Dealers,25986,6
25,4442,Lawn and Garden Equipment and Supplies Stores,17917,4
26,444210,Outdoor Power Equipment Stores,3953,6
27,444220,"Nursery, Garden Center, and Farm Supply Stores",13964,6
28,4451,Grocery Stores,150172,4
29,445110,Supermarkets and Other Grocery (except Convenience) Stores,93012,6
30,445120,Convenience Stores,57160,6
31,4452,Specialty Food Stores,89345,4
32,445210,Meat Markets,8475,6
33,445220,Fish and Seafood Markets,3032,6
34,445230,Fruit and Vegetable Markets,6982,6
35,445291,Baked Goods Stores,36863,6
36,445292,Confectionery and Nut Stores,9910,6
37,445299,All Other Specialty Food Stores,24083,6
38,4453,"Beer, Wine, and Liquor Stores",33842,4
39,445310,"Beer, Wine, and Liquor Stores",33842,6
40,4461,Health and Personal Care Stores,124190,4
41,446110,Pharmacies and Drug Stores,55661,6
42,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",19220,6
43,446130,Optical Goods Stores,18055,6
44,446191,Food (Health) Supplement Stores,16766,6
45,446199,All Other Health and Personal Care Stores,14488,6
46,4471,Gasoline Stations,72071,4
47,447110,Gasoline Stations with Convenience Stores,1181,6
48,447190,Other Gasoline Stations,70890,6
49,4481,Clothing Stores,167083,4
50,448110,Men's Clothing Stores,11581,6
51,448120,Women's Clothing Stores,87421,6
52,448130,Children's and Infants' Clothing Stores,6950,6
53,448140,Family Clothing Stores,23235,6
54,448150,Clothing Accessories Stores,18182,6
55,448190,Other Clothing Stores,19714,6
56,4482,Shoe Stores,20091,4
57,448210,Shoe Stores,20091,6
58,4483,"Jewelry, Luggage, and Leather Goods Stores",41912,4
59,448310,Jewelry Stores,40163,6
60,448320,Luggage and Leather Goods Stores,1749,6
61,4511,"Sporting Goods, Hobby, and Musical Instrument Stores",99990,4
62,451110,Sporting Goods Stores,52724,6
63,451120,"Hobby, Toy, and Game Stores",26087,6
64,451130,"Sewing, Needlework, and Piece Goods Stores",11881,6
65,451140,Musical Instrument and Supplies Stores,9298,6
66,4512,Book Stores and News Dealers,15250,4
67,451211,Book Stores,14321,6
68,451212,News Dealers and Newsstands,929,6
69,4522,Department Stores,21600,4
70,452210,Department Stores,21600,6
71,4523,"General Merchandise Stores, including Warehouse Clubs and Supercenters",45803,4
72,452311,Warehouse Clubs and Supercenters,1858,6
73,452319,All Other General Merchandise Stores,43945,6
74,4531,Florists,28180,4
75,453110,Florists,28180,6
76,4532,"Office Supplies, Stationery, and Gift Stores",60320,4
77,453210,Office Supplies and Stationery Stores,6056,6
78,453220,"Gift, Novelty, and Souvenir Stores",54264,6
79,4533,Used Merchandise Stores,38924,4
80,453310,Used Merchandise Stores,38924,6
81,4539,Other Miscellaneous Store Retailers,193279,4
82,453910,Pet and Pet Supplies Stores,18147,6
83,453920,Art Dealers,3773,6
84,453930,Manufactured (Mobile) Home Dealers,3886,6
85,453991,Tobacco Stores,18373,6
86,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),149100,6
87,4541,Electronic Shopping and Mail-Order Houses,23902,4
88,454110,Electronic Shopping and Mail-Order Houses,23902,6
89,4542,Vending Machine Operators,9596,4
90,454210,Vending Machine Operators,9596,6
91,4543,Direct Selling Establishments,40954,4
92,454310,Fuel Dealers,13891,6
93,454390,Other Direct Selling Establishments,27063,6
0,48-49,Transportation and Warehousing,587261,5
1,4811,Scheduled Air Transportation,2449,4
2,481111,Scheduled Passenger Air Transportation,1928,6
3,481112,Scheduled Freight Air Transportation,521,6
4,4812,Nonscheduled Air Transportation,2738,4
5,481211,Nonscheduled Chartered Passenger Air Transportation,205,6
6,481212,Nonscheduled Chartered Freight Air Transportation,100,6
7,481219,Other Nonscheduled Air Transportation,2433,6
8,4821,Rail Transportation,2452,4
9,482111,Line-Haul Railroads,2412,6
10,482112,Short Line Railroads,40,6
11,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",1355,4
12,483111,Deep Sea Freight Transportation,742,6
13,483112,Deep Sea Passenger Transportation,187,6
14,483113,Coastal and Great Lakes Freight Transportation,426,6
15,483114,Coastal and Great Lakes Passenger Transportation,0,6
16,4832,Inland Water Transportation,1332,4
17,483211,Inland Water Freight Transportation,909,6
18,483212,Inland Water Passenger Transportation,423,6
19,4841,General Freight Trucking,193736,4
20,484110,"General Freight Trucking, Local",152292,6
21,484121,"General Freight Trucking, Long-Distance, Truckload",40849,6
22,484122,"General Freight Trucking, Long-Distance, Less Than Truckload",595,6
23,4842,Specialized Freight Trucking,24061,4
24,484210,Used Household and Office Goods Moving,8501,6
25,484220,"Specialized Freight (except Used Goods) Trucking, Local",11094,6
26,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",4466,6
27,4851,Urban Transit Systems,7559,4
28,485111,Mixed Mode Transit Systems,5988,6
29,485112,Commuter Rail Systems,190,6
30,485113,Bus and Other Motor Vehicle Transit Systems,1288,6
31,485119,Other Urban Transit Systems,93,6
32,4852,Interurban and Rural Bus Transportation,1054,4
33,485210,Interurban and Rural Bus Transportation,1054,6
34,4853,Taxi and Limousine Service,28128,4
35,485310,Taxi Service,10917,6
36,485320,Limousine Service,17211,6
37,4854,School and Employee Bus Transportation,2450,4
38,485410,School and Employee Bus Transportation,2450,6
39,4855,Charter Bus Industry,3651,4
40,485510,Charter Bus Industry,3651,6
41,4859,Other Transit and Ground Passenger Transportation,5359,4
42,485991,Special Needs Transportation,0,6
43,485999,All Other Transit and Ground Passenger Transportation,5359,6
44,4861,Pipeline Transportation of Crude Oil,763,4
45,486110,Pipeline Transportation of Crude Oil,763,6
46,4862,Pipeline Transportation of Natural Gas,1795,4
47,486210,Pipeline Transportation of Natural Gas,1795,6
48,4869,Other Pipeline Transportation,557,4
49,486910,Pipeline Transportation of Refined Petroleum Products,354,6
50,486990,All Other Pipeline Transportation,203,6
51,4871,"Scenic and Sightseeing Transportation, Land",362,4
52,487110,"Scenic and Sightseeing Transportation, Land",362,6
53,4872,"Scenic and Sightseeing Transportation, Water",518,4
54,487210,"Scenic and Sightseeing Transportation, Water",518,6
55,4879,"Scenic and Sightseeing Transportation, Other",359,4
56,487990,"Scenic and Sightseeing Transportation, Other",359,6
57,4881,Support Activities for Air Transportation,18283,4
58,488111,Air Traffic Control,989,6
59,488119,Other Airport Operations,13383,6
60,488190,Other Support Activities for Air Transportation,3911,6
61,4882,Support Activities for Rail Transportation,17452,4
62,488210,Support Activities for Rail Transportation,17452,6
63,4883,Support Activities for Water Transportation,4220,4
64,488310,Port and Harbor Operations,219,6
65,488320,Marine Cargo Handling,999,6
66,488330,Navigational Services to Shipping,1616,6
67,488390,Other Support Activities for Water Transportation,1386,6
68,4884,Support Activities for Road Transportation,29325,4
69,488410,Motor Vehicle Towing,23248,6
70,488490,Other Support Activities for Road Transportation,6077,6
71,4885,Freight Transportation Arrangement,40642,4
72,488510,Freight Transportation Arrangement,40642,6
73,4889,Other Support Activities for Transportation,127308,4
74,488991,Packing and Crating,1439,6
75,488999,All Other Support Activities for Transportation,125869,6
76,4911,Postal Service,21675,4
77,491110,Postal Service,21675,6
78,4921,Couriers and Express Delivery Services,7350,4
79,492110,Couriers and Express Delivery Services,7350,6
80,4922,Local Messengers and Local Delivery,4467,4
81,492210,Local Messengers and Local Delivery,4467,6
82,4931,Warehousing and Storage,35861,4
83,493110,General Warehousing and Storage,23611,6
84,493120,Refrigerated Warehousing and Storage,1327,6
85,493130,Farm Product Warehousing and Storage,911,6
86,493190,Other Warehousing and Storage,10012,6
0,51,Information,355030,2
1,5111,"Newspaper, Periodical, Book, and Directory Publishers",44575,4
2,511110,Newspaper Publishers,11560,6
3,511120,Periodical Publishers,5202,6
4,511130,Book Publishers,5488,6
5,511140,Directory and Mailing List Publishers,578,6
6,511191,Greeting Card Publishers,346,6
7,511199,All Other Publishers,21401,6
8,5112,Software Publishers,23187,4
9,511210,Software Publishers,23187,6
10,5121,Motion Picture and Video Industries,75234,4
11,512110,Motion Picture and Video Production,27812,6
12,512120,Motion Picture and Video Distribution,29767,6
13,512131,Motion Picture Theaters (except Drive-Ins),6347,6
14,512132,Drive-In Motion Picture Theaters,124,6
15,512191,Teleproduction and Other Postproduction Services,3748,6
16,512199,Other Motion Picture and Video Industries,7436,6
17,5122,Sound Recording Industries,13040,4
18,512230,Music Publishers,713,6
19,512240,Sound Recording Studios,4755,6
20,512250,Record Production and Distribution,7235,6
21,512290,Other Sound Recording Industries,337,6
22,5151,Radio and Television Broadcasting,17423,4
23,515111,Radio Networks,9935,6
24,515112,Radio Stations,3202,6
25,515120,Television Broadcasting,4286,6
26,5152,Cable and Other Subscription Programming,7320,4
27,515210,Cable and Other Subscription Programming,7320,6
28,5173,Wired and Wireless Telecommunications Carriers,45711,4
29,517311,Wired Telecommunications Carriers,15548,6
30,517312,Wireless Telecommunications Carriers (except Satellite),30163,6
31,5174,Satellite Telecommunications,193,4
32,517410,Satellite Telecommunications,193,6
33,5179,Other Telecommunications,73292,4
34,517911,Telecommunications Resellers,19279,6
35,517919,All Other Telecommunications,54013,6
36,5182,"Data Processing, Hosting, and Related Services",20952,4
37,518210,"Data Processing, Hosting, and Related Services",20952,6
38,5191,Other Information Services,34103,4
39,519110,News Syndicates,881,6
40,519120,Libraries and Archives,26072,6
41,519130,Internet Publishing and Broadcasting and Web Search Portals,1513,6
42,519190,All Other Information Services,5637,6
0,52,Finance and Insurance,791029,2
1,5211,Monetary Authorities-Central Bank,40,4
2,521110,Monetary Authorities-Central Bank,40,6
3,5221,Depository Credit Intermediation,105778,4
4,522110,Commercial Banking,82917,6
5,522120,Savings Institutions,6998,6
6,522130,Credit Unions,15863,6
7,522190,Other Depository Credit Intermediation,0,6
8,5222,Nondepository Credit Intermediation,42813,4
9,522210,Credit Card Issuing,6,6
10,522220,Sales Financing,2441,6
11,522291,Consumer Lending,16254,6
12,522292,Real Estate Credit,6364,6
13,522293,International Trade Financing,1690,6
14,522294,Secondary Market Financing,6,6
15,522298,All Other Nondepository Credit Intermediation,16052,6
16,5223,Activities Related to Credit Intermediation,68976,4
17,522310,Mortgage and Nonmortgage Loan Brokers,13108,6
18,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",28461,6
19,522390,Other Activities Related to Credit Intermediation,27407,6
20,5231,Securities and Commodity Contracts Intermediation and Brokerage,40177,4
21,523110,Investment Banking and Securities Dealing,2668,6
22,523120,Securities Brokerage,33879,6
23,523130,Commodity Contracts Dealing,2981,6
24,523140,Commodity Contracts Brokerage,649,6
25,5232,Securities and Commodity Exchanges,379,4
26,523210,Securities and Commodity Exchanges,379,6
27,5239,Other Financial Investment Activities,243429,4
28,523910,Miscellaneous Intermediation,142131,6
29,523920,Portfolio Management,10242,6
30,523930,Investment Advice,67414,6
31,523991,"Trust, Fiduciary, and Custody Activities",21330,6
32,523999,Miscellaneous Financial Investment Activities,2312,6
33,5241,Insurance Carriers,34106,4
34,524113,Direct Life Insurance Carriers,7577,6
35,524114,Direct Health and Medical Insurance Carriers,5149,6
36,524126,Direct Property and Casualty Insurance Carriers,12956,6
37,524127,Direct Title Insurance Carriers,5240,6
38,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",3051,6
39,524130,Reinsurance Carriers,133,6
40,5242,"Agencies, Brokerages, and Other Insurance Related Activities",222804,4
41,524210,Insurance Agencies and Brokerages,211366,6
42,524291,Claims Adjusting,4171,6
43,524292,Third Party Administration of Insurance and Pension Funds,853,6
44,524298,All Other Insurance Related Activities,6414,6
45,5251,Insurance and Employee Benefit Funds,1767,4
46,525110,Pension Funds,857,6
47,525120,Health and Welfare Funds,832,6
48,525190,Other Insurance Funds,78,6
49,5259,Other Investment Pools and Funds,30760,4
50,525910,Open-End Investment Funds,16191,6
51,525920,"Trusts, Estates, and Agency Accounts",8094,6
52,525990,Other Financial Vehicles,6475,6
0,53,Real Estate and Rental and Leasing,863427,2
1,5311,Lessors of Real Estate,205817,4
2,531110,Lessors of Residential Buildings and Dwellings,126514,6
3,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),30001,6
4,531130,Lessors of Miniwarehouses and Self-Storage Units,22783,6
5,531190,Lessors of Other Real Estate Property,26519,6
6,5312,Offices of Real Estate Agents and Brokers,356184,4
7,531210,Offices of Real Estate Agents and Brokers,356184,6
8,5313,Activities Related to Real Estate,179627,4
9,531311,Residential Property Managers,5911,6
10,531312,Nonresidential Property Managers,146571,6
11,531320,Offices of Real Estate Appraisers,21542,6
12,531390,Other Activities Related to Real Estate,5603,6
13,5321,Automotive Equipment Rental and Leasing,37141,4
14,532111,Passenger Car Rental,15108,6
15,532112,Passenger Car Leasing,896,6
16,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",21137,6
17,5322,Consumer Goods Rental,31642,4
18,532210,Consumer Electronics and Appliances Rental,6215,6
19,532281,Formal Wear and Costume Rental,1817,6
20,532282,Video Tape and Disc Rental,4890,6
21,532283,Home Health Equipment Rental,2344,6
22,532284,Recreational Goods Rental,2053,6
23,532289,All Other Consumer Goods Rental,14323,6
24,5323,General Rental Centers,855,4
25,532310,General Rental Centers,855,6
26,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,48593,4
27,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",1282,6
28,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",5535,6
29,532420,Office Machinery and Equipment Rental and Leasing,614,6
30,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,41162,6
31,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),3568,4
32,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),3568,6
0,54,"Professional, Scientific, and Technical Services",2196583,2
1,5411,Legal Services,350012,4
2,541110,Offices of Lawyers,326978,6
3,541120,Offices of Notaries,6278,6
4,541191,Title Abstract and Settlement Offices,11359,6
5,541199,All Other Legal Services,5397,6
6,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",183077,4
7,541211,Offices of Certified Public Accountants,69470,6
8,541213,Tax Preparation Services,61932,6
9,541214,Payroll Services,3003,6
10,541219,Other Accounting Services,48672,6
11,5413,"Architectural, Engineering, and Related Services",254611,4
12,541310,Architectural Services,38936,6
13,541320,Landscape Architectural Services,83712,6
14,541330,Engineering Services,96126,6
15,541340,Drafting Services,1674,6
16,541350,Building Inspection Services,7579,6
17,541360,Geophysical Surveying and Mapping Services,0,6
