,Codes,Titles,Total Marketable US Businesses,code_len
4,236117,New Housing For-Sale Builders,7119,6
5,236118,Residential Remodelers,100263,6
6,2362,Nonresidential Building Construction,63938,4
7,236210,Industrial Building Construction,7915,6
8,236220,Commercial and Institutional Building Construction,56023,6
9,2371,Utility System Construction,22739,4
10,237110,Water and Sewer Line and Related Structures Construction,17347,6
11,237120,Oil and Gas Pipeline and Related Structures Construction,2706,6
12,237130,Power and Communication Line and Related Structures Construction,2686,6
13,2372,Land Subdivision,35539,4
14,237210,Land Subdivision,35539,6
15,2373,"Highway, Street, and Bridge Construction",27819,4
16,237310,"Highway, Street, and Bridge Construction",27819,6
17,2379,Other Heavy and Civil Engineering Construction,7705,4
18,237990,Other Heavy and Civil Engineering Construction,7705,6
19,2381,"Foundation, Structure, and Building Exterior Contractors",163674,4
20,238110,Poured Concrete Foundation and Structure Contractors,36076,6
21,238120,Structural Steel and Precast Concrete Contractors,2631,6
22,238130,Framing Contractors,42776,6
23,238140,Masonry Contractors,22897,6
24,238150,Glass and Glazing Contractors,7032,6
25,238160,Roofing Contractors,45469,6
26,238170,Siding Contractors,4522,6
27,238190,"Other Foundation, Structure, and Building Exterior Contractors",2271,6
28,2382,Building Equipment Contractors,305884,4
29,238210,Electrical Contractors and Other Wiring Installation Contractors,117505,6
30,238220,"Plumbing, Heating, and Air-Conditioning Contractors",185632,6
31,238290,Other Building Equipment Contractors,2747,6
32,2383,Building Finishing Contractors,182233,4
33,238310,Drywall and Insulation Contractors,29902,6
34,238320,Painting and Wall Covering Contractors,92311,6
35,238330,Flooring Contractors,15136,6
36,238340,Tile and Terrazzo Contractors,22422,6
37,238350,Finish Carpentry Contractors,11891,6
38,238390,Other Building Finishing Contractors,10571,6
39,2389,Other Specialty Trade Contractors,177452,4
40,238910,Site Preparation Contractors,39392,6
41,238990,All Other Specialty Trade Contractors,138060,6
0,31-33,Manufacturing,638730,5
1,3111,Animal Food Manufacturing,2227,4
2,311111,Dog and Cat Food Manufacturing,461,6
3,311119,Other Animal Food Manufacturing,1766,6
4,3112,Grain and Oilseed Milling,2318,4
5,311211,Flour Milling,720,6
6,311212,Rice Milling,152,6
7,311213,Malt Manufacturing,62,6
8,311221,Wet Corn Milling,207,6
9,311224,Soybean and Other Oilseed Processing,154,6
10,311225,Fats and Oils Refining and Blending,645,6
11,311230,Breakfast Cereal Manufacturing,378,6
12,3113,Sugar and Confectionery Product Manufacturing,2454,4
13,311313,Beet Sugar Manufacturing,63,6
14,311314,Cane Sugar Manufacturing,114,6
15,311340,Nonchocolate Confectionery Manufacturing,1381,6
16,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,570,6
17,311352,Confectionery Manufacturing from Purchased Chocolate,326,6
18,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,3786,4
19,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",520,6
20,311412,Frozen Specialty Food Manufacturing,657,6
21,311421,Fruit and Vegetable Canning,1709,6
22,311422,Specialty Canning,581,6
23,311423,Dried and Dehydrated Food Manufacturing,319,6
24,3115,Dairy Product Manufacturing,3865,4
25,311511,Fluid Milk Manufacturing,671,6
26,311512,Creamery Butter Manufacturing,204,6
27,311513,Cheese Manufacturing,683,6
28,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",917,6
29,311520,Ice Cream and Frozen Dessert Manufacturing,1390,6
30,3116,Animal Slaughtering and Processing,4646,4
31,311611,Animal (except Poultry) Slaughtering,2138,6
32,311612,Meat Processed from Carcasses,1430,6
33,311613,Rendering and Meat Byproduct Processing,309,6
34,311615,Poultry Processing,769,6
35,3117,Seafood Product Preparation and Packaging,799,4
36,311710,Seafood Product Preparation and Packaging,799,6
37,3118,Bakeries and Tortilla Manufacturing,27682,4
38,311811,Retail Bakeries,21363,6
39,311812,Commercial Bakeries,4165,6
40,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",253,6
41,311821,Cookie and Cracker Manufacturing,704,6
42,311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",561,6
43,311830,Tortilla Manufacturing,636,6
44,3119,Other Food Manufacturing,8062,4
45,311911,Roasted Nuts and Peanut Butter Manufacturing,251,6
46,311919,Other Snack Food Manufacturing,593,6
47,311920,Coffee and Tea Manufacturing,965,6
48,311930,Flavoring Syrup and Concentrate Manufacturing,297,6
49,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",565,6
50,311942,Spice and Extract Manufacturing,1369,6
51,311991,Perishable Prepared Food Manufacturing,385,6
52,311999,All Other Miscellaneous Food Manufacturing,3637,6
53,3121,Beverage Manufacturing,14313,4
54,312111,Soft Drink Manufacturing,2847,6
55,312112,Bottled Water Manufacturing,499,6
56,312113,Ice Manufacturing,554,6
57,312120,Breweries,2317,6
58,312130,Wineries,6800,6
59,312140,Distilleries,1296,6
60,3122,Tobacco Manufacturing,492,4
61,312230,Tobacco Manufacturing,492,6
62,3131,"Fiber, Yarn, and Thread Mills",766,4
63,313110,"Fiber, Yarn, and Thread Mills",766,6
64,3132,Fabric Mills,5233,4
65,313210,Broadwoven Fabric Mills,4337,6
66,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,457,6
67,313230,Nonwoven Fabric Mills,228,6
68,313240,Knit Fabric Mills,211,6
69,3133,Textile and Fabric Finishing and Fabric Coating Mills,1557,4
70,313310,Textile and Fabric Finishing Mills,1187,6
71,313320,Fabric Coating Mills,370,6
72,3141,Textile Furnishings Mills,2701,4
73,314110,Carpet and Rug Mills,1027,6
74,314120,Curtain and Linen Mills,1674,6
75,3149,Other Textile Product Mills,13509,4
76,314910,Textile Bag and Canvas Mills,2105,6
77,314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",378,6
78,314999,All Other Miscellaneous Textile Product Mills,11026,6
79,3151,Apparel Knitting Mills,1466,4
80,315110,Hosiery and Sock Mills,662,6
81,315190,Other Apparel Knitting Mills,804,6
82,3152,Cut and Sew Apparel Manufacturing,8303,4
83,315210,Cut and Sew Apparel Contractors,397,6
84,315220,Men's and Boys' Cut and Sew Apparel Manufacturing,3043,6
85,315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",3829,6
86,315280,Other Cut and Sew Apparel Manufacturing,1034,6
87,3159,Apparel Accessories and Other Apparel Manufacturing,2594,4
88,315990,Apparel Accessories and Other Apparel Manufacturing,2594,6
89,3161,Leather and Hide Tanning and Finishing,742,4
90,316110,Leather and Hide Tanning and Finishing,742,6
91,3162,Footwear Manufacturing,700,4
92,316210,Footwear Manufacturing,700,6
93,3169,Other Leather and Allied Product Manufacturing,3566,4
94,316992,Women's Handbag and Purse Manufacturing,324,6
95,316998,All Other Leather Good and Allied Product Manufacturing,3242,6
96,3211,Sawmills and Wood Preservation,3186,4
97,321113,Sawmills,2506,6
98,321114,Wood Preservation,680,6
99,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",1680,4
100,321211,Hardwood Veneer and Plywood Manufacturing,302,6
101,321212,Softwood Veneer and Plywood Manufacturing,87,6
102,321213,Engineered Wood Member (except Truss) Manufacturing,67,6
103,321214,Truss Manufacturing,894,6
104,321219,Reconstituted Wood Product Manufacturing,330,6
105,3219,Other Wood Product Manufacturing,26377,4
106,321911,Wood Window and Door Manufacturing,1387,6
107,321912,"Cut Stock, Resawing Lumber, and Planing",1300,6
108,321918,Other Millwork (including Flooring),13997,6
109,321920,Wood Container and Pallet Manufacturing,3246,6
110,321991,Manufactured Home (Mobile Home) Manufacturing,658,6
111,321992,Prefabricated Wood Building Manufacturing,1150,6
112,321999,All Other Miscellaneous Wood Product Manufacturing,4639,6
113,3221,"Pulp, Paper, and Paperboard Mills",3128,4
114,322110,Pulp Mills,375,6
115,322121,Paper (except Newsprint) Mills,1931,6
116,322122,Newsprint Mills,31,6
117,322130,Paperboard Mills,791,6
118,3222,Converted Paper Product Manufacturing,6352,4
119,322211,Corrugated and Solid Fiber Box Manufacturing,1743,6
120,322212,Folding Paperboard Box Manufacturing,185,6
121,322219,Other Paperboard Container Manufacturing,703,6
122,322220,Paper Bag and Coated and Treated Paper Manufacturing,1668,6
123,322230,Stationery Product Manufacturing,422,6
124,322291,Sanitary Paper Product Manufacturing,359,6
125,322299,All Other Converted Paper Product Manufacturing,1272,6
126,3231,Printing and Related Support Activities,53803,4
127,323111,Commercial Printing (except Screen and Books),44937,6
128,323113,Commercial Screen Printing,6712,6
129,323117,Books Printing,399,6
130,323120,Support Activities for Printing,1755,6
131,3241,Petroleum and Coal Products Manufacturing,4542,4
132,324110,Petroleum Refineries,1660,6
133,324121,Asphalt Paving Mixture and Block Manufacturing,1422,6
134,324122,Asphalt Shingle and Coating Materials Manufacturing,600,6
135,324191,Petroleum Lubricating Oil and Grease Manufacturing,693,6
136,324199,All Other Petroleum and Coal Products Manufacturing,167,6
137,3251,Basic Chemical Manufacturing,8278,4
138,325110,Petrochemical Manufacturing,1560,6
139,325120,Industrial Gas Manufacturing,1387,6
140,325130,Synthetic Dye and Pigment Manufacturing,304,6
141,325180,Other Basic Inorganic Chemical Manufacturing,2768,6
142,325193,Ethyl Alcohol Manufacturing,213,6
143,325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",211,6
144,325199,All Other Basic Organic Chemical Manufacturing,1835,6
145,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",3034,4
146,325211,Plastics Material and Resin Manufacturing,2534,6
147,325212,Synthetic Rubber Manufacturing,266,6
148,325220,Artificial and Synthetic Fibers and Filaments Manufacturing,234,6
149,3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",2197,4
150,325311,Nitrogenous Fertilizer Manufacturing,474,6
151,325312,Phosphatic Fertilizer Manufacturing,113,6
152,325314,Fertilizer (Mixing Only) Manufacturing,597,6
153,325320,Pesticide and Other Agricultural Chemical Manufacturing,1013,6
154,3254,Pharmaceutical and Medicine Manufacturing,12029,4
155,325411,Medicinal and Botanical Manufacturing,1226,6
156,325412,Pharmaceutical Preparation Manufacturing,8703,6
157,325413,In-Vitro Diagnostic Substance Manufacturing,182,6
158,325414,Biological Product (except Diagnostic) Manufacturing,1918,6
159,3255,"Paint, Coating, and Adhesive Manufacturing",3527,4
160,325510,Paint and Coating Manufacturing,2288,6
161,325520,Adhesive Manufacturing,1239,6
162,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",7581,4
163,325611,Soap and Other Detergent Manufacturing,1234,6
164,325612,Polish and Other Sanitation Good Manufacturing,1999,6
165,325613,Surface Active Agent Manufacturing,163,6
166,325620,Toilet Preparation Manufacturing,4185,6
167,3259,Other Chemical Product and Preparation Manufacturing,4711,4
168,325910,Printing Ink Manufacturing,639,6
169,325920,Explosives Manufacturing,245,6
170,325991,Custom Compounding of Purchased Resins,153,6
171,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",326,6
172,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,3348,6
173,3261,Plastics Product Manufacturing,14388,4
174,326111,Plastics Bag and Pouch Manufacturing,380,6
175,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,179,6
176,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,826,6
177,326121,Unlaminated Plastics Profile Shape Manufacturing,205,6
178,326122,Plastics Pipe and Pipe Fitting Manufacturing,389,6
